縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,平日夜間停留人數_統計,假日夜間停留人數_統計,資料時間_統計
10020,嘉義市,10020010,東區,117321,117859,109Y11M
10020,嘉義市,10020020,西區,140209,144279,109Y11M
9020,金門縣,9020010,金城鎮,28733,29249,109Y11M
9020,金門縣,9020020,金沙鎮,12972,13229,109Y11M
9020,金門縣,9020030,金湖鎮,25459,25522,109Y11M
9020,金門縣,9020040,金寧鄉,27600,28005,109Y11M
9020,金門縣,9020050,烈嶼鄉,3366,3447,109Y11M
9020,金門縣,9020060,烏坵鄉,0,0,109Y11M
9007,連江縣,9007010,南竿鄉,7040,7246,109Y11M
9007,連江縣,9007020,北竿鄉,2056,2202,109Y11M
9007,連江縣,9007030,莒光鄉,1128,1113,109Y11M
9007,連江縣,9007040,東引鄉,2287,2259,109Y11M
