COUNTY_ID,COUNTY,TOWN_ID,TOWN,DAY_WORK(7:00~13:00),DAY_WORK(13:00~19:00),DAY_WORK,DAY_WEEKEND(7:00~13:00),DAY_WEEKEND(13:00~19:00),DAY_WEEKEND,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,平日上午活動人數,平日下午活動人數,平日日間活動人數,假日上午活動人數,假日下午活動人數,假日日間活動人數,資料時間
10005,苗栗縣,10005060,後龍鎮,30113,29762,29898,30175,30504,30030,109Y11M
10005,苗栗縣,10005070,卓蘭鎮,11412,11491,11454,13885,13816,13649,109Y11M
10005,苗栗縣,10005080,大湖鄉,10473,10368,10383,13167,12821,12817,109Y11M
10005,苗栗縣,10005090,公館鄉,21282,21320,21262,27786,27057,27380,109Y11M
10005,苗栗縣,10005100,銅鑼鄉,21657,21457,21475,20480,20053,19844,109Y11M
10005,苗栗縣,10005110,南庄鄉,6543,6589,6490,12168,11734,11670,109Y11M
10005,苗栗縣,10005120,頭屋鄉,7016,7021,7049,8829,8727,8645,109Y11M
10005,苗栗縣,10005130,三義鄉,16420,16280,16228,18442,17933,17636,109Y11M
10005,苗栗縣,10005140,西湖鄉,4416,4362,4367,5077,5084,5032,109Y11M
10005,苗栗縣,10005150,造橋鄉,13323,12871,13057,14109,13542,13821,109Y11M
10005,苗栗縣,10005160,三灣鄉,4833,4739,4763,6589,6288,6318,109Y11M
10005,苗栗縣,10005170,獅潭鄉,2974,2970,2968,4980,4807,4651,109Y11M
10005,苗栗縣,10005180,泰安鄉,3952,3917,3893,8330,7688,7749,109Y11M
10007,彰化縣,10007010,彰化市,213783,213554,213419,213275,210409,212870,109Y11M
10007,彰化縣,10007020,鹿港鎮,88520,87984,88051,84576,83820,84109,109Y11M
10007,彰化縣,10007030,和美鎮,77159,77005,77081,82104,81467,82751,109Y11M
10007,彰化縣,10007040,線西鄉,18626,18280,18506,15268,15035,15337,109Y11M
10007,彰化縣,10007050,伸港鄉,30266,29974,30033,30442,29963,30382,109Y11M
10007,彰化縣,10007060,福興鄉,40254,40250,40370,37370,37592,37797,109Y11M
10007,彰化縣,10007070,秀水鄉,32497,32646,32709,32126,31899,32241,109Y11M
10007,彰化縣,10007080,花壇鄉,39314,39696,39612,42919,43009,43370,109Y11M
10007,彰化縣,10007090,芬園鄉,14027,14207,14155,17115,17170,17221,109Y11M
10007,彰化縣,10007100,員林市,101505,102558,101837,110531,111651,110812,109Y11M
10007,彰化縣,10007110,溪湖鎮,41118,41520,41305,46005,45917,46013,109Y11M
